title	type	url_slug	venue	date	location	talk_url	description
Detecting Nonlinear Breit-Wheeler Pairs at CALA	Talk	talk-1	64th Annual Meeting of the APS Division of Plasma Physics	19.10.22	Spokane, WA, USA	https://meetings.aps.org/Meeting/DPP22/Content/4248	
Pair Production in the Non-Perturbative Regime at CALA	Talk	talk-2	International Workshop QED Laser Plasmas (QLASP 2022)	26.09.22	Dresden, Germany	https://www.pks.mpg.de/de/qlasp22	
Pair Production in the Non-Perturbative Regime at CALA	Talk	talk-3	Helmholtz-Institut Jena Semiannual Palaver	22.02.23	Jena, Germany		
(Invited) Pair-Production in the Non-Perturbative Regime at CALA: First Background Measurements and Experiment Updates	Talk	talk-4	5th Conference on Extremely High Intensity Laser Physics (ExHILP 2023)	13.09.23	Gwangju, South Korea	https://indico.ibs.re.kr/event/568/	
FOR2783: Probing Pair Production in the Non-Perturbative Regime	Talk	talk-5	4th Conference on Extremely High Intensity Laser Physics (ExHILP 2021)	14.09.21	Jena, Germany	https://indico.tpi.uni-jena.de/event/194/	
(Invited) Pair-Production in the Non-Perturbative Regime at CALA	Talk	talk-6	GSI Plasma Physics Seminar	21.05.24	Darmstadt, Germany	https://indico.gsi.de/event/19859/	
